kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,is_candidate
11709006,K08061.01,,FALSE POSITIVE,FALSE POSITIVE,1.0,1,0,0,0,0.719741,0.0005031,-0.0005031,131.898,0.43,-0.43,0.275,0.202,-0.275,2.628,0.613,-0.613,32.2,37.1,-37.1,0.57,0.06,-0.03,2074.0,,,4398.76,1549.62,-799.53,6.5,5.0,q1_q17_dr25_tce,6014.0,120.0,-132.0,4.486,0.024,-0.096,0.993,0.117,-0.054,289.7356,49.859787,8.777,0
8150320,K00904.02,Kepler-55 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,27.9541337,0.0001727,-0.0001727,178.73791,0.00397,-0.00397,0.063,0.402,-0.063,3.95,0.138,-0.138,942.5,39.6,-39.6,1.9,0.13,-0.06,400.0,,,6.04,1.39,-0.81,25.4,3.0,q1_q17_dr25_tce,4500.0,90.0,-90.0,4.656,0.013,-0.043,0.646,0.043,-0.02,285.16833,44.026459,15.791,1
5695396,K00283.03,,CANDIDATE,CANDIDATE,,0,0,0,0,9.48814747,6.148e-05,-6.148e-05,139.17907,0.00496,-0.00496,0.5693,0.0874,-0.4352,1.163,0.194,-0.194,47.9,7.2,-7.2,0.73,0.13,-0.06,856.0,,,126.75,63.38,-28.75,11.1,3.0,q1_q17_dr24_tce,5680.0,104.0,-113.0,4.414,0.072,-0.072,1.016,0.184,-0.086,288.53082,40.942299,11.525,1
9239670,K08282.01,,FALSE POSITIVE,FALSE POSITIVE,0.116,1,0,0,0,456.55308,0.01288,-0.01288,527.3529,0.0172,-0.0172,0.673,0.038,-0.5,4.435,0.609,-0.609,116.2,20.1,-20.1,1.48,0.32,-0.39,270.0,,,1.26,0.78,-0.64,7.3,1.0,q1_q17_dr25_tce,5678.0,142.0,-128.0,4.161,0.26,-0.14,1.298,0.278,-0.34,298.90518,45.61084,11.858,0
11912941,K04481.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,3.74784374,4.21e-05,-4.21e-05,134.19157,0.00921,-0.00921,0.093,0.373,-0.093,3.658,0.262,-0.262,116.5,10.9,-10.9,1.08,0.32,-0.13,1226.0,,,534.57,469.74,-174.27,12.8,1.0,q1_q17_dr25_tce,6122.0,171.0,-214.0,4.471,0.05,-0.2,0.996,0.296,-0.118,290.97906,50.258148,15.13,0
6033602,K05225.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,33.2948005,0.0004703,-0.0004703,141.5302,0.0115,-0.0115,0.03,0.4141,-0.0299,2.997,0.351,-0.351,215.7,37.9,-37.9,1.46,0.58,-0.14,600.0,,,30.67,35.55,-8.71,6.6,1.0,q1_q17_dr24_tce,6217.0,163.0,-202.0,4.472,0.048,-0.287,0.989,0.391,-0.095,288.90735,41.35582,15.252,0
3118797,K01950.01,Kepler-1024 b,CONFIRMED,CANDIDATE,0.894,0,0,0,0,66.4159789,0.0003626,-0.0003626,188.13988,0.00476,-0.00476,0.371,0.039,-0.371,7.061,0.133,-0.133,2053.2,67.3,-67.3,3.44,0.65,-0.28,376.0,,,4.71,3.0,-1.25,33.6,1.0,q1_q17_dr25_tce,5383.0,204.0,-185.0,4.603,0.03,-0.12,0.759,0.143,-0.061,291.95099,38.251701,15.983,1
11614617,K01990.01,Kepler-1041 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,24.7577652,0.0001215,-0.0001215,142.06826,0.0036,-0.0036,0.896,0.025,-0.619,6.998,0.13,-0.13,458.7,13.8,-13.8,2.44,0.71,-0.24,644.0,,,40.74,35.18,-11.73,37.6,1.0,q1_q17_dr25_tce,6106.0,163.0,-199.0,4.487,0.048,-0.192,0.966,0.285,-0.095,293.88177,49.683151,14.49,1
7978202,K05454.01,Kepler-1630 b,CONFIRMED,CANDIDATE,,0,0,0,0,509.997402,0.003256,-0.003256,276.73122,0.00391,-0.00391,0.0254,0.4275,-0.0248,8.481,0.165,-0.165,1267.0,45.2,-45.2,2.62,0.45,-0.27,182.0,,,0.26,0.16,-0.07,35.3,1.0,q1_q17_dr24_tce,5037.0,196.0,-157.0,4.54,0.066,-0.157,0.756,0.13,-0.077,297.5083,43.710949,14.15,1
9964748,K02496.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.183818383,4.977e-06,-4.977e-06,131.88403,0.00324,-0.00324,0.17,0.288,-0.17,1.393,0.118,-0.118,84.3,8.0,-8.0,0.91,0.31,-0.1,1775.0,,,2337.65,2297.68,-734.59,12.7,1.0,q1_q17_dr25_tce,6014.0,168.0,-210.0,4.459,0.054,-0.216,0.992,0.33,-0.11,297.04852,46.867981,14.675,0
8360041,K04854.01,,CANDIDATE,CANDIDATE,0.984,0,0,0,0,2.63527677,2.09e-05,-2.09e-05,133.97919,0.00527,-0.00527,0.646,0.015,-0.5,1.997,0.2,-0.2,70.4,7.9,-7.9,0.76,0.05,-0.06,1136.0,,,394.32,83.99,-77.27,10.7,1.0,q1_q17_dr25_tce,5215.0,83.0,-83.0,4.496,0.066,-0.05,0.864,0.058,-0.064,289.80804,44.362518,14.342,1
6765563,K05324.01,,CANDIDATE,CANDIDATE,,0,0,0,0,293.392635,0.004655,-0.004655,341.2263,0.0129,-0.0129,0.1322,0.3397,-0.1322,3.661,0.264,-0.264,518.8,55.7,-55.7,6.84,3.92,-1.49,428.0,,,7.93,13.47,-3.57,9.9,1.0,q1_q16_tce,5203.0,116.0,-133.0,3.489,0.182,-0.337,3.055,1.748,-0.668,287.90686,42.208721,13.705,1
5039053,K05121.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,401.38712,0.01471,-0.01471,328.5916,0.0348,-0.0348,0.666,0.276,-0.456,32.21,1.1,-1.1,166.2,10.3,-10.3,2.04,0.35,-0.43,303.0,,,1.98,0.88,-0.81,18.6,1.0,q1_q17_dr25_tce,5858.0,79.0,-79.0,4.12,0.168,-0.098,1.498,0.256,-0.313,298.32886,40.147171,12.616,0
